編號,類別,時間,標題,內容
1,鴻海新聞,1/1/2016 13:00,印度手機用戶破10億 難怪鴻海也愛,全球最大手機用戶市場在中國大陸，其次是哪一個市場呢？答案是印度。印度手機用戶量已經突破10億，難怪鴻海要積極搶攻印度這塊大餅。印度和其他國外媒體引述印度電信主管機關Telecom Regulatory Authority統計指出，截至去年9月底，印度手機用戶數量已超過9.96億，到去年10月底，印度手機用戶數量已經突破10億，達到10.3億。印度目前人口數達到12.5億人，大約有12家主要電信營運商，其中最大的是Bharti Airtel，約有2億用戶。全球最大手機用戶市場是中國大陸，用戶數量在2012年已突破10億。看好印度12億人口逐步升級成為4G手機用戶，包括宏達電、聯發科、鴻海和緯創等台灣廠商，分別在印度布局搶攻市場。中國大陸的聯想、小米、OPPO、OnePlus等手機廠商，也都在印度投下鉅額廣告，都想在印度這個手機銷售每年有30%成長率的市場，取得一席之地。鴻海集團布局印度製造，中國大陸手機廠商蜂擁跟上。印度媒體先前報導，中國大陸OnePlus、金立(Gionee)、小米(Xiaomi)和OPPO等，攜手富士康在印度製造智慧型手機。印度當地媒體也報導，鴻海富士康提供2條產線，在印度製造華碩智慧型手機。手機品牌商富可視(InFocus)也與富士康合作在印度製造智慧型手機。
2,鴻海新聞,1/3/2016 0:03,天奕集點App 搶閒逛商機,"你知道只逛街、不買東西，也可以免費累積點數嗎？而且累積的點數可以兌換商品，或折抵消費，相當受到消費者的歡迎，這種創新的商業服務模式，就是天奕科技開發出的「FootPoint踩點趣」。天奕成立於2014年8月，當年11月完成踩點趣的系統建置，並在2015年1月29日與微風廣場首度合作，正式推出上線。在這短短的幾個月，天奕的系統獲得十家大型百貨、六個大型商圈、十個政府單位、八個大型展覽，總計超過1,000個合作商店導入，而且已達10萬個App使用者，成效驚人。天奕的商業服務模式，不僅賣場喜歡，消費者喜愛，連國際知名會展都馬上注意到。天奕總經理陳宗逸表示，2015年1月29日我們才正式在微風上線，全球行動通訊大會（MWC）的主辦單位，在2月1日馬上打電話給我，問我是否能在上海的MWC，代表亞洲的廠商，發表智慧商場的應用演講。一般廠商若要到MWC發表演講，可是要花數百萬元，可是MWC主辦單位親自邀請陳宗逸演講，因為MWC看到美國shopkick非常成功，想要找到亞洲的shopkick，結果發現是在台灣，可見得天奕的創新應用，已經引起國際注意。創新應用 MWC力邀演講不僅是國際上受到矚目，天奕在國內也是得獎無數，2015年10月下旬公布的第三屆雲豹育成總決賽，天奕就以最具投資價值的優勢，從18家新創公司中脫穎而出，贏得年度雲豹育成冠軍，並獲新台幣百萬元獎金。「2015台灣雲谷雲豹育成」是結合13家公司及法人，包括工研院、資策會、中華電信、友訊科技、台灣大哥大、遠傳電信、台達電、英業達、凌群電腦、華電聯網、鴻海、瀚宇彩晶、戴爾電腦等共同評選，並輔導台灣的科技新創公司成長。評審認為，天奕致力發展有效的線上線下（O2O）數位行銷工具，引進美國最新行動廣告模式，以iBeacon為技術核心，結合行動裝置及實體通路，開發出國內最大iBeacon應用平台FootPoint App，導入物聯網概念及大數據引擎，提供實體通路最精準的導客工具。至於踩點趣是怎麼樣的經營服務模式？陳宗逸舉例，假設你的公司下面有一家日本料理餐廳，老闆用五折吸引你上門消費，可是你今天就是不想吃日本料理，即使五折你也不會去，對老闆來說，五折已經是賠本賣了，都還無法吸引你這個客人。結果老闆換一個方式，你只要到店裡看一下菜單，就拿走10元現金折價券，對很多人來說，只要看一下，就可以拿現金，倒是可以試試。餐廳打五折你不消費，可是免費給你10元，卻可以吸引你上門看一下。攜手微風 打開知名度他進一步解釋，只要走進店裡，就送你接近現金的東西，這個東西就是點數，可是點數若是只有樓下日本料理的東西，消費者不會想要。如果走進店裡，拿點數，這附近有高達1,000家店都在做，你每走進一家店可以得100點的話，這種點數你會想蒐集，因為可以適用高達千家商店。後來天奕發現，台灣所有人都要看標竿企業先做，其他人就會跟著做，本來天奕鎖定新光三越，但三越太大，沒有積極想嚐試新東西，遠百也沒有談成，最後是找到微風最適合，因為微風是高端百貨的代表，VIP之夜就是微風發明，大家會跟隨微風的腳步。陳宗逸說，微風是唯一問我說，你有辦法保證我是第一家做的嗎？「其他通路都是問，有誰做？我才要跟進做。」因此，天奕是在與微風合作上線後，才打開知名度。目前使用天奕的App下載量已達10萬人次，天奕才上線幾個月，而且是工具型的App，這個成長數字是很快的。陳宗逸說，要用行銷方式獲得一個App使用者，通常要花150至100元，因此，百萬使用者最少要花1億元打廣告，但我們達到10萬個使用者，行銷費用不到百萬元，這完全不符合常規，所以，我們的東西，就是消費者想要主動使用的東西。 陳宗逸 複製無名小站經驗【記者蕭君暉／台北報導】天奕科技總經理陳宗逸創立天奕，是他人生中第二次創業。他第一次創業是在大學時代，外界對他第一次創業的公司，應該也不陌生，那就是「無名小站」。陳宗逸說，他大學念的是交大資工系，在大學時代的他與室友們，搞了一個到目前為止，仍是台灣最成功的網站—「無名小站」。無名小站後來在他們要自交大畢業時賣給雅虎，陳宗逸是初期協助無名小站創立的同學之一，至於後期發展，則是他的同學們自己的努力。陳宗逸說，15年前，當時網站還只是剛剛興起，他們就做了一個平台，讓大家可以互相認識，這個平台的功能必須要充份，一開始只有BBS，後來有網路相簿，接下來放部落格，這三種功能加在一起成為後來的無名小站。當時無名小站的部落格概念，並不是他們發想的，而是來自美國有寫網路日記的概念。15年前沒有臉書，他們把網路日記引進台灣，發現有需求，也顯示在其他市場成功的東西，在台灣也有機會可以做。陳宗逸交大資工系畢業之後，因為家族從事金融與政治，希望他能夠學習金融，因此，他到南加大讀了一個企管碩士（MBA）。學成返國之後，中華開發因為他又懂工、又懂商，也開過無名小站，希望他到中華開發，協助投資電子、軟體與半導體等產業，他也在中華開發做了六年，看了很多電商與電子產品的公司。當時與陳宗逸創辦無名小站的室友，有人到了美國，有人自己開公司，剩下的幾個人開始思考，有沒有一個題目可以讓他們再次創業成功？他說，他們18歲創無名小站是時勢造英雄，並不是真的很厲害。但是陳宗逸認為，他們這群同學有一點很不錯，就是有看到流行趨勢的眼光，他自己在中華開發做創投時，也一直有在看什麼題目可以做，讓他可以再次創業。當時天奕科技的技術長人在美國，他發現了shopkick的商業模式，並認為美國商店要人走進去集點，台灣應該也需要，而且台灣人比美國人更喜歡蒐集點數，陳宗逸就與資策會（MIC）一起做調查研究，發現台灣有此需求，而環球購物中心、京華城等商場也認為可行，因此，他想要把握此一機會。陳宗逸與他的無名小站朋友，就把這個題目作為第二次創業，2014年8月成立公司，當年11月完成系統，2015年初開始與微風廣場合作，正式向外發表，也開啟了他第二次創業之路。 異業結盟…找全球電商合作【記者蕭君暉／台北報導】天奕科技總經理陳宗逸表示，異業結盟是天奕下一步的發展，包括百貨商場、連鎖通路、大型電子商務、知名App、第三方支付，甚至大陸、香港與越南等地的電商與傳媒等，都來找天奕合作。天奕將與這些策略合作夥伴結盟，一同擴大在網路及實體世界的影響力。他說，國內許多大型企業已與天奕洽談2016年入資計畫，對方有很棒的通路，擁有通路與業務才有價值，包括百貨商場、連鎖通路、民生通路，甚至是電子商務平台，還有金融與電信業者。陳宗"
3,鴻海新聞,1/3/2016 19:12,面板業盼銷陸免關稅 產業政策受期待,雖然中韓自由貿易協定生效，南韓面板銷陸並非立即零關稅，但面對競爭壓力，台灣面板廠仍盼兩岸貨貿協議儘快敲定面板免關稅。產業分析師指出，關稅之外，產業政策更重要。研調機構WitsView資深副總經理張小彪指出，台灣面板業主要競爭對手南韓，除與中國大陸簽定自由貿易協定（FTA），也與日本、歐盟、澳洲簽署類似協定，對出口國而言，免關稅是很重要的一件事。張小彪分析，全球面板供過於求，壓力很大，台灣剛好面臨全球景氣的谷底，這不是個別國家的問題。鄰國完成FTA簽署且生效，當然會影響台灣的出口。不過他認為，台灣近年不論藍綠執政，產業政策的主軸不夠明確，且延續性不足，也讓南韓產業有機會大幅超越台灣，希望總統大選後，新政府的產業政策能有恢宏的格局。去年下半年面板價格持續大跌，累計跌幅逼近2008年金融海嘯水準，讓面板業期盼銷陸免關稅，多一分競爭實力。去年11月21至23日舉行兩岸貨貿談判，面板又被排除在外，鴻海董事長郭台銘在去年12月初，中國大陸海協會會長陳德銘來台訪問之際，曾出面喊話，盼台灣面板銷陸免關稅。群創光電總經理王志超也建言，向海協會會長陳德銘陳情，台灣面板業進入寒冬期，南韓面板廠因享有中國大陸內銷市場關稅優惠，台灣業者的市占率已被南韓面板廠蠶食鯨吞。
4,鴻海新聞,1/4/2016 10:54,上班族夢幻總統 首選張忠謀,難忍低薪！根據yes123求職網調查，逾7成上班族今年首季想跳槽，對新工作期望平均薪資為新台幣3萬7429元，年減2.2％；而上班族心中的夢幻總統，是台積電董座張忠謀。yes123求職網今天公布「猴年第一季景氣暨勞動市場趨勢調查」，分析上班族新年職場願望。調查發現，今年第一季僅三分之二的企業有徵才計畫，甚至有6.9%企業有裁員計劃；徵才企業開出的月薪條件，平均落在2萬9750元。調查也發現，高達70.6%的受訪上班族透露，有計畫在今年第一季換工作，高於前一季的65.5%，轉職主因分別是「現在工作的薪水太低」（63.6%）、「覺得公司未來沒有發展性」（55.2%）、「對現在的工作沒興趣」（42.9%），以及「想要轉行或創業」（39%）、「與同事、上司相處不融洽」（37.7%）。然而，對薪資待遇的期望值，勞資雙方顯然有落差。調查顯示，上班族期望月薪平均落在3萬7429元，已比上季的3萬8272元少了843元，季減2.2%；但與廠商開出的2萬9750元條件相比，中間落差高達25.8%。即使上班族願意「降價換工作」，仍難以順利找到薪資合乎期待的職缺。台灣今年另一個經濟變數，即是總統大選結果。根據yes123求職網調查，若從「拚經濟」的角度出發，上班族的「夢幻總統」期待人選，分別為台積電董事長張忠謀（30.3%）、鴻海董事長郭台銘（24.3%）、捷安特創辦人劉金標（16.1%），以及王品集團創辦人戴勝益（15.6%）、誠品董事長吳清友（14.7%）。最終選舉結果出爐後，有23.2%的上班族透露，「會影響」自己的職涯規劃；也有17.1%的公司表示，大選結果「會影響」全年的招募規劃；有18.7%的公司透露，大選結果「會影響」公司全年的企業投資規劃。「猴年第一季景氣暨勞動市場趨勢調查」，是由yes123求職網於去年12月15日到12月30日，以網路問卷進行抽樣調查，調查20歲以上、已畢業或役畢免役，且目前有正職工作的會員，有效問卷共1308份，信心水準為95%，誤差值為正負2.71個百分點；企業有效問卷共870份，信心水準為95%，誤差值為正負3.32百分點。
5,鴻海新聞,1/4/2016 9:43,台股早盤急殺170逾點 失守8200,台股迎接2016新春開紅盤，但受到休市期間美股連二黑下跌逾295點，加上封關日集團股尾盤強拉作帳結束，今早集團權值股國泰金、台塑紛紛拉回，最大權值股台積電（2330）也跌逾1%，拖累台股一開盤以下跌22.27點、8315.79點開出，之後開低走低一度急殺170逾點，月線8270點、8200點相繼失守。根據歷史經驗，台股新春開紅盤日上漲機率達6成，但是2016年一開盤就急殺近百點，今日開紅盤要續維持上漲難度偏高。台股休市期間，國際股市表現欠佳，美股連二黑，道瓊工業平均指數上周五收低178.84點或1.02%至17425.03點，加上前一天再跌117點，台股休市二天間，美股總計下跌逾295點。亞股今早開盤日韓股亦紛紛開黑，日股下挫逾140點、韓股下跌逾17點，跌幅均在0.75~0.85%。今日開盤量大股方面，電子受到美國電腦傳聞iPhone銷售數字不理想，蘋概股今早繼續弱勢，台積電下跌逾1.5元，鴻海（2317）也偏弱勢，此外上周四封關日尾盤強拉指數的國泰金、台塑、中華電信作帳結束後向下拉回，一開盤紛紛出現逾4~5%以上跌幅，因這些都屬影響台股前十大權值股，亦是加深台股開紅盤日指數急殺逾百點的原因。
6,鴻海新聞,1/4/2016 14:52,12月望新猷 鴻海去年業績估再登峰,"去年前11月營收已達4兆734.41億 全年成長1成可達陣…… 鴻海（2317）最快本周公布去年12月和全年營收，鴻海董事長郭台銘日前表示，2015年業績將較前年成長1成，由於鴻海累計去年前11月自結合併營收已達4兆734.41億元，年增10.19%，法人估12月業績可望續創高點，因此全年成長10%目標達陣無虞，讓鴻海業績再創歷史巔峰。鴻海去年第4季業績看佳，10月一口氣升抵5,000億大關後逐月攀升，11月合併營收達5,175.19億元，月增2.89%、年增0.53%，刷新歷年單月紀錄；累計去年前11月營收達4兆734.41億元，亦創歷年同期新高。觀察去年第4季表現，法人預期鴻海去年12月仍有機會續守5,000億元營收水平，第4季業績將突破1.5兆元大關，不僅是去年全年單季營運高峰，更有機會一舉超越前年第4季高點，再創歷年單季新猷。鴻海集團旗下亞太電信今年亦在台灣大力推廣軟銀機器人Pepper，日本市場更是月月創下「秒殺」紀錄，鴻海將在即將到來的美國CES展上展出高階8K電視，彰顯集團製作面板的強大競爭力。郭台銘近日還說，計畫繼續增資日本?10代廠SDP，讓SDP業務持續向上、高端產品銷售至全球各地。"
7,鴻海新聞,1/4/2016 12:45,郭台銘下午記者會 親自回應小學生來信,新的一年到來，鴻海下午2時將在土城總部舉辦記者會，預料鴻海董事長郭台銘將親自回應一名國小學生的來信。媒體報導，台北市北投區大屯國小去年10月邀請台灣猛禽研究會演講，播放「老鷹想飛」預告片，一名二年級小男生看完預告後哭了，聽說影片票房不好將下檔，主動跟老師反應想寫信請郭台銘幫忙。結果這名小學生的其他同學都一起來寫信了。據了解，鴻海董事長郭台銘聞訊後非常感動，決定今天下午召開記者會，親自回應小學生的真情訴求。
8,鴻海新聞,1/4/2016 13:08,4K電視逐漸成主流 LG推8K電視,"由於4K電視價格下滑，逐漸成為市場主流，根據日本電子情報技術產業協會近期公告的統計數字看來，去年日本4K電視銷售量明顯增長不少。日本力推把4K電視服務投入商用服務，逐步計畫未來能播出更高畫質的8K節目，此舉有效挹注日本4K電視市場的發展狀況。根據日本電子情報技術產業協會統計資料顯示，去年日本一整年4K電視的出貨逐月增長，最新一期的11月統計數字可以發現，去年11月日本4K電視出貨量為8.2萬台，年增124%，創下一年多來的新高，累計去年1至11月日本的4K電視出貨量為51.2萬台，年增154.2%。近年來，在南韓及日本等國，4K電視逐漸興起，隨著4K電視逐漸成為市場主流後，8K電視成為科技大廠宣示自家產品功力的下一戰場，如日本夏普、南韓三星等廠商，都已在國際大展上推過8K解析度的電視產品。被視為科技風向球的美國消費電子展（Consumer Electronics Show, CES）將在1月6日至9日在美國拉斯維加斯開展，根據了解，LG也將率先在CES展上，展示第一款已經可以進入市售階段的8K新款電視，據悉此款產品最快將在今年下半年左右就能在市場亮相。但由於目前仍未有8K節目訊號，LG今年電視發展布局仍以4K市場為主。此次的CES展，鴻海（2317）也將展出高階8K電視，根據了解，鴻海計畫要讓此高畫質電視，未來能融入居家生活的應用中。雖然8K電視的解析度是傳統HD電視的16倍，不過由於目前沒有8K的訊號，以及電視晶片並不普及，8K電視目前仍處於小眾市場，初期仍以商業用途為主，各家科技大廠宣示品牌實力意味濃厚。"
9,鴻海新聞,1/4/2016 13:57,台股開低走低 跌223.8點,台北股市今天開低走低，收盤跌223.8點，為8114.26點，跌幅2.68%，成交金額新台幣760.03億元。加權指數今天開盤為8143.23點，盤中最高8326.33點，最低8109.09點；不含金融股指數6832.03點，跌178.77點。八大類股漲跌幅為：泥窯股跌4.01%、食品股跌1.22%、塑化股跌4.68%、紡織股跌2.88%、機電股跌2.19%、造紙股跌1.31%、營建股跌2.33%、金融股跌3.52%。委買張數914萬7478張，委賣張數634萬1635張，成交張數381萬2268張。收盤時上漲121家，下跌710家，持平37家。成交量前5名個股為友達、聯電、群創、台積電、鴻海。漲幅前5名個股為臺鹽、茂矽、F-矽力、南緯、晟鈦。跌幅前5名個股為F-訊芯、科風、國泰金、宏盛、台化。
10,鴻海新聞,1/4/2016 15:56,希望搭老鷹飛過去！郭董明早出國跑行程,鴻海董事長郭台銘今日召開記者會，回應台北市北投區大屯國小陳冠聿寫信的訴求，他在會中也透露，明日一早就要出國拚行程，國小同學還質問郭台銘說，「那你去美國要做什麼事？」郭台銘今日參加於鴻海總部舉辦的記者會，但是遲到進場，郭台銘說，因為剛剛正在與美國方面通電話，因此比較晚到，「你們愛心我很感動，」，他也透露，「明天我要出國了」，小學生還窮追不捨的問說，那幾點要到機場，郭董回應「 早上八點半就要出發囉」。郭董還說，明天希望「搭老鷹飛過去」，郭董瞬間變成孩子王，與小朋友們童言童語的回應。
